[L] 200- .--------------------------------------------------------------------=-.
[L] 200- | ## User         Location/Tagline         Files  Megabytes   Avg k/s   |
[L] 200- |-=-------------------------------------------------------------------=-|
[L] 200- [84] nopnop       No Tagline Set           1,613   48,163MB    335K/s
[L] 200- [85] trap         the smoking-weed-at-th   8,034   45,866MB    542K/s
[L] 200- [86] MishAK47     No Tagline Set           5,780   44,046MB     89K/s
[L] 200- [87] drugsunny    good night               2,069   42,837MB   1903K/s
[L] 200- [88] Plastic      No Tagline Set           5,276   42,741MB    254K/s
[L] 200- [89] SlashZero    No Tagline Set           2,770   40,072MB    220K/s
[L] 200- [90] elin_g       No Tagline Set           5,082   39,581MB    126K/s
[L] 200- [91] youngman     Roasted Turkey Kidney    4,124   38,496MB    294K/s
[L] 200- [92] blackman     ALLAH AL AKBAR           8,121   38,252MB    516K/s
[L] 200- [93] mucka        Computah sez no          2,716   34,279MB    290K/s
[L] 200- [94] torch        Tagline Set              3,464   33,559MB    605K/s
[L] 200- [95] faceface     No Tagline Set           4,059   33,464MB    120K/s
[L] 200- [96] ASG          No Tagline Set           2,571   33,404MB    290K/s
[L] 200- [97] HazardX      No Tagline Set             892   30,562MB    433K/s
[L] 200- [98] zyni         No Tagline Set           2,252   29,193MB    106K/s
[L] 200- [99] kimezy       No Tagline Set           1,161   28,961MB    287K/s
[L] 200- [100] turbo        People can fly           3,143   28,899MB    438K/s
[L] 200- [101] Burnie       No Tagline Set             591   26,506MB   4037K/s
[L] 200- [102] MNS-GADM     No Tagline Set             967   24,550MB    157K/s
[L] 200- [103] cvs          No Tagline Set           1,461   24,447MB    328K/s
[L] 200- [104] bloodrush    Not For Sale             2,120   24,098MB    652K/s
[L] 200- [105] 0an          No Tagline Set           3,420   24,067MB    279K/s
[L] 200- [106] v00id        No Tagline Set           3,365   23,365MB    993K/s
[L] 200- [107] tc           No Tagline Set           2,328   23,085MB    203K/s
[L] 200- [108] n0fear       No Tagline Set           1,117   23,055MB    251K/s
[L] 200- [109] kraffs       No Tagline Set             956   22,931MB    204K/s
[L] 200- [110] mk2k         No Tagline Set             940   22,856MB    359K/s
[L] 200- [111] Popedius     odi et amo               4,020   22,603MB    718K/s
[L] 200- [112] AvO          No Tagline Set           1,333   22,275MB    119K/s
[L] 200- [113] Canzer       blowme...                2,500   22,261MB    744K/s
[L] 200- [114] kaos         No Tagline Set           1,087   21,055MB    311K/s
[L] 200- [115] br0wnc0w     No Tagline Set           1,102   20,532MB    132K/s
[L] 200- [116] resQue       No Tagline Set             823   20,008MB   1760K/s
[L] 200- [117] phiction     No Tagline Set           1,180   17,980MB    287K/s
[L] 200- [118] djmystic     No Tagline Set             431   17,843MB    117K/s
[L] 200- [119] EnirP        No Tagline Set             427   17,677MB    103K/s
[L] 200- [120] nightim      No Tagline Set             553   16,644MB    470K/s
[L] 200- [121] djkos        No Tagline Set             467   16,001MB     68K/s
[L] 200- [122] RaYdeN       No Tagline Set             526   15,403MB    683K/s
[L] 200- [123] PirUiui      No Tagline Set             748   14,725MB    295K/s
[L] 200- [124] aka          No Tagline Set             666   13,651MB    109K/s
[L] 200- [125] xhatex       No Tagline Set           1,047   12,580MB    131K/s
[L] 200- [126] A-plus       No Tagline Set             475   12,531MB    407K/s
[L] 200- [127] Killergoldfi No Tagline Set           1,656   12,470MB    970K/s
[L] 200- [128] digitech     No Seeds No Stems No S   2,240   12,170MB   1316K/s
[L] 200- [129] vibe         site adduser vibe neve     694   12,147MB   2299K/s
[L] 200- [130] rats         Scene detective.           543   11,958MB    217K/s
[L] 200- [131] FTU          No Tagline Set             918   11,860MB     83K/s
[L] 200- [132] razpy        No Tagline Set           1,168   11,242MB     85K/s
[L] 200- [133] lone         No Tagline Set             805   11,023MB    542K/s
[L] 200- [134] illusion     No Tagline Set           1,923   10,820MB    408K/s
[L] 200- [135] nitrous      No Tagline Set           1,838   10,584MB    416K/s
[L] 200- [136] rick         No Tagline Set             235   10,366MB    415K/s
[L] 200- [137] djm          No Tagline Set           1,093    9,244MB     23K/s
[L] 200- [138] t3vion       No Tagline Set             958    9,193MB    556K/s
[L] 200- [139] PhalanX      No Tagline Set           1,269    8,531MB    792K/s
[L] 200- [140] fudge        No Tagline Set           1,231    8,434MB    212K/s
[L] 200- [141] tHeGamE      OverRiding The Khaos       276    8,128MB    198K/s
[L] 200- [142] pok          No Tagline Set             410    7,886MB    164K/s
[L] 200- [143] vorsoth      No Tagline Set             498    7,697MB    690K/s
[L] 200- [144] theloosa     No Tagline Set           1,379    7,623MB    864K/s
[L] 200- [145] quicksand    No Tagline Set             343    7,464MB    312K/s
[L] 200- [146] dcipher      No Tagline Set             652    7,277MB    180K/s
[L] 200- [147] hooli        r0x                      1,136    7,074MB    694K/s
[L] 200- [148] theROC       RACE WITH THE WIND       1,134    6,962MB   1081K/s
[L] 200- [149] drmatik      chr0matik fantasy          259    6,272MB    101K/s
[L] 200- [150] citizen      HK4EVER                    346    5,926MB    223K/s
[L] 200- [151] es24         No Tagline Set             487    5,847MB     78K/s
[L] 200- [152] mikerlit     No Tagline Set             489    5,600MB    740K/s
[L] 200- [153] DVT-ONE      No Tagline Set             552    5,510MB    600K/s
[L] 200- [154] prawn        No Tagline Set             473    4,758MB   1239K/s
[L] 200- [155] dos4gw       No Tagline Set             274    4,696MB    725K/s
[L] 200- [156] gotti        d00t                       675    4,688MB   1304K/s
[L] 200- [157] tekstor      No Tagline Set             568    4,630MB    111K/s
[L] 200- [158] discover     No Tagline Set             824    4,232MB    146K/s
[L] 200- [159] neur0n       No Tagline Set             211    3,812MB    125K/s
[L] 200- [160] west         No Tagline Set             123    3,307MB    678K/s
[L] 200- [161] 4RN-PRE      No Tagline Set             252    3,209MB     72K/s
[L] 200- [162] silverice    No Tagline Set             505    2,737MB     86K/s
[L] 200- [163] jpmad4it     No Tagline Set             231    2,629MB     28K/s
[L] 200- [164] kitt         No Tagline Set             889    2,617MB    343K/s
[L] 200- [165] quik         No Tagline Set              57    2,558MB    781K/s
[L] 200- [166] Fend         No Tagline Set             263    2,518MB   1260K/s
[L] 200- [167] direkt       No Tagline Set             419    2,182MB    393K/s
[L] 200- [168] fantastic    No Tagline Set              44    1,946MB    463K/s
[L] 200- [169] cadence      No Tagline Set             509    1,824MB    870K/s
[L] 200- [170] payaso       No Tagline Set              45    1,744MB    951K/s
[L] 200- [171] FLN-GADM     No Tagline Set             135    1,735MB   1054K/s
[L] 200- [172] Trance       No Tagline Set             108    1,501MB    235K/s
[L] 200- [173] noone        No Tagline Set             106    1,486MB     37K/s
[L] 200- [174] c2           No Tagline Set             106    1,435MB    520K/s
[L] 200- [175] matter       No Tagline Set             369    1,424MB    280K/s
[L] 200- [176] chiller      No Tagline Set             104    1,114MB    694K/s
[L] 200- [177] Madman       No Tagline Set              65    1,007MB     90K/s
[L] 200- [178] klu          No Tagline Set              26    1,004MB    159K/s
[L] 200- [179] punkstar     PURE TRADING ONLY          320    1,000MB    171K/s
[L] 200- [180] marcel       No Tagline Set             130      956MB     70K/s
